上海频道,#genre#
生活时尚,http://222.67.24.171:1688/rtp/239.45.3.132:5140
东方影视,http://222.67.24.171:1688/rtp/239.45.3.237:5140
欢笑剧场,http://222.67.24.171:1688/rtp/239.45.3.196:5140
新闻综合,http://222.67.24.171:1688/rtp/239.45.3.209:5140
哈哈炫动,http://222.67.24.171:1688/rtp/239.45.1.55:5140
上海纪实,http://112.66.74.84:8188/rtp/239.253.64.149:5140
上海纪实人文,http://1.195.229.250:8822/rtp/239.16.20.124:11240
哈哈炫动,http://117.12.150.180:4022/rtp/225.1.1.62:5002
上海纪实人文,http://171.119.207.220:6000/rtp/226.0.2.193:9456
动漫秀场,http://222.67.24.171:1688/rtp/239.45.3.134:5140
哈哈炫动,http://219.141.45.102:8188/rtp/238.255.2.56:5999
上海纪实人文,http://171.119.205.154:6000/rtp/226.0.2.193:9456
上海纪实人文,http://1.196.152.212:2001/rtp/239.16.20.124:11240
新闻综合,http://144.255.44.197:4022/udp/239.21.1.193:5002
欢笑剧场,http://222.67.24.171:1688/rtp/239.45.1.4:5140
哈哈炫动,http://61.159.134.106:4022/rtp/238.255.2.56:5999
第一财经,http://222.67.24.171:1688/rtp/239.45.3.211:5140
哈哈炫动,http://61.159.135.101:4022/rtp/238.255.2.56:5999
上海第一财经,http://183.130.35.79:9011/udp/233.50.200.125:5140
上海教育,http://222.67.24.171:1688/rtp/239.45.0.13:5140
上海纪实人文,http://171.119.205.171:6000/rtp/226.0.2.193:9456
哈哈炫动,http://218.86.187.40:8188/rtp/238.255.2.56:5999
都市剧场,http://222.67.24.171:1688/rtp/239.45.3.136:5140
东方财经,http://222.67.24.171:1688/rtp/239.45.0.17:5140
新闻综合,http://144.255.44.160:7788/udp/239.21.1.193:5002
哈哈炫动,http://218.86.184.144:4022/rtp/238.255.2.56:5999
上海纪实人文,http://171.119.205.58:6000/rtp/226.0.2.193:9456
上海第一财经,http://125.123.121.210:8188/udp/233.50.200.125:5140
上海纪实人文,http://1.196.152.27:2001/rtp/239.16.20.124:11240
东方财经,http://218.1.138.50:4022/rtp/239.45.0.17:5140
上海都市,http://42.92.195.174:10000/udp/239.255.29.22:8231
哈哈炫动,http://1.58.243.207:4000/rtp/229.58.190.96:5000
法治天地,http://222.67.24.171:1688/rtp/239.45.1.46:5140
欢笑剧场,http://218.1.138.50:4022/rtp/239.45.1.4:5140
上海纪实人文,http://118.78.196.46:55555/rtp/226.0.2.193:9456
上海纪实人文,http://1.192.242.184:8188/rtp/239.16.20.124:11240
上海纪实人文,http://1.196.152.100:2001/rtp/239.16.20.124:11240
上海纪实人文,http://171.213.208.39:4022/udp/239.93.1.137:5140
哈哈炫动,http://218.8.87.96:4000/rtp/229.58.190.96:5000
动漫秀场,http://218.1.138.50:4022/rtp/239.45.3.134:5140
上海纪实人文,http://124.224.85.17:2000/rtp/239.121.4.164:8968
动漫秀场,http://180.165.24.227:4022/rtp/239.45.3.134:5140
新闻综合,http://222.169.99.87:7777/rtp/239.37.0.250:5540
哈哈炫动,http://1.58.246.23:4000/rtp/229.58.190.96:5000
哈哈炫动,http://180.165.24.227:4022/rtp/239.45.1.55:5140
哈哈炫动,http://1.58.243.207:4001/rtp/229.58.190.96:5000
新闻综合,http://144.123.76.157:8188/udp/239.21.1.193:5002
上海纪实人文,http://171.213.157.52:9999/udp/239.93.1.137:5140
哈哈炫动,http://1.58.246.23:4001/rtp/229.58.190.96:5000
上海纪实人文,http://144.255.44.160:7788/udp/239.21.1.171:5002
上海纪实人文,http://1.196.152.44:2001/rtp/239.16.20.124:11240
哈哈炫动,http://220.176.218.147:9000/rtp/239.252.219.43:5140
上海纪实人文,http://144.255.44.197:4022/udp/239.21.1.171:5002
上海纪实人文,http://144.123.76.157:8188/udp/239.21.1.171:5002
生活时尚,http://180.165.24.227:4022/rtp/239.45.3.132:5140
东方财经,http://180.165.24.227:4022/rtp/239.45.0.17:5140
哈哈炫动,http://218.1.138.50:4022/rtp/239.45.1.55:5140
东方影视,http://218.1.138.50:4022/rtp/239.45.3.237:5140
法治天地,http://218.1.138.50:4022/rtp/239.45.1.46:5140
新闻综合,http://218.1.138.50:4022/rtp/239.45.3.209:5140
生活时尚,http://218.1.138.50:4022/rtp/239.45.3.132:5140
都市剧场,http://218.1.138.50:4022/rtp/239.45.3.136:5140
法治天地,http://180.165.24.227:4022/rtp/239.45.1.46:5140
上海教育,http://180.165.24.227:4022/rtp/239.45.0.13:5140
欢笑剧场,http://180.165.24.227:4022/rtp/239.45.3.196:5140
欢笑剧场,http://218.1.138.50:4022/rtp/239.45.3.196:5140
第一财经,http://218.1.138.50:4022/rtp/239.45.3.211:5140
上海教育,http://218.1.138.50:4022/rtp/239.45.0.13:5140
上海第一财经,http://115.192.237.86:4022/udp/233.50.200.125:5140
哈哈炫动,http://117.13.121.247:4022/rtp/225.1.1.62:5002
哈哈炫动,http://111.162.207.216:8686/rtp/225.1.1.62:5002
第一财经,http://180.165.24.227:4022/rtp/239.45.3.211:5140
东方影视,http://180.165.24.227:4022/rtp/239.45.3.237:5140
上海纪实,http://223.198.243.166:4000/rtp/239.253.64.149:5140
上海纪实人文,http://171.213.222.241:4022/udp/239.93.1.137:5140
哈哈炫动,http://219.141.45.235:8188/rtp/238.255.2.56:5999
上海纪实人文,http://171.213.229.178:5555/udp/239.93.1.137:5140
上海纪实人文,http://171.213.155.138:9999/udp/239.93.1.137:5140
上海纪实人文,http://1.196.152.23:2001/rtp/239.16.20.124:11240
上海纪实人文,http://171.213.211.24:4022/udp/239.93.1.137:5140
