北京频道,#genre#
北京卡酷少儿,http://39.89.122.41:8188/rtp/239.253.254.66:8000
北京生活,http://111.196.129.187:20000/rtp/239.3.1.117:8000
北京卡酷少儿,http://111.196.129.187:20000/rtp/239.3.1.189:8000
北京财经,http://114.254.37.241:18888/rtp/239.3.1.116:8000
北京卡酷少儿,http://222.67.24.171:1688/rtp/239.45.0.8:5140
北京新闻,http://111.196.129.187:20000/rtp/239.3.1.159:8000
北京卡酷少儿,http://124.135.64.121:22222/rtp/239.253.254.66:8000
北京生活,http://114.254.37.241:18888/rtp/239.3.1.117:8000
北京财经,http://115.171.80.94:1688/udp/225.1.8.106:8002
北京卡酷少儿,http://218.86.187.40:8188/rtp/238.255.2.80:5999
北京卡酷少儿,http://114.254.37.241:18888/rtp/239.3.1.189:8000
北京卡酷少儿,http://114.241.220.153:4022/rtp/239.3.1.189:8000
北京新闻,http://114.254.37.241:18888/rtp/239.3.1.159:8000
北京卡酷少儿,http://219.141.45.235:8188/rtp/238.255.2.80:5999
北京卡酷少儿,http://219.141.45.235:8188/rtp/238.255.2.106:5999
北京卡酷少儿,http://115.171.80.94:1688/udp/225.1.8.35:8000
北京卡酷少儿,http://219.141.45.102:8188/rtp/238.255.2.106:5999
北京卡酷少儿,http://61.159.134.106:4022/rtp/238.255.2.106:5999
北京卡酷少儿,http://61.159.134.106:4022/rtp/238.255.2.80:5999
北京卡酷少儿,http://219.141.45.102:8188/rtp/238.255.2.80:5999
北京财经,http://111.196.129.187:20000/rtp/239.3.1.116:8000
北京卡酷少儿,http://61.159.135.101:4022/rtp/238.255.2.106:5999
北京生活,http://115.171.80.94:1688/udp/225.1.8.108:8002
北京卡酷少儿,http://218.86.184.144:4022/rtp/238.255.2.106:5999
北京卡酷少儿,http://218.86.184.144:4022/rtp/238.255.2.80:5999
北京卡酷少儿,http://42.92.195.174:10000/udp/239.255.29.38:8231
北京卡酷少儿,http://180.165.24.227:4022/rtp/239.45.0.8:5140
北京财经,http://114.241.220.153:4022/rtp/239.3.1.116:8000
北京新闻,http://114.241.220.153:4022/rtp/239.3.1.159:8000
北京卡酷少儿,http://49.113.178.226:4022/udp/238.125.5.107:5140
北京生活,http://114.241.220.153:4022/rtp/239.3.1.117:8000
北京卡酷少儿,http://218.1.138.50:4022/rtp/239.45.0.8:5140
北京卡酷少儿,http://110.157.221.183:8088/udp/238.125.5.107:5140
北京卡酷少儿,http://219.141.45.25:8188/rtp/238.255.2.106:5999
北京卡酷少儿,http://219.141.45.25:8188/rtp/238.255.2.80:5999
北京新闻,http://115.171.80.94:1688/udp/225.1.8.83:8000
北京卡酷少儿,http://218.86.187.40:8188/rtp/238.255.2.106:5999
