卫视频道,#genre#
云南卫视,http://39.89.122.41:8188/rtp/239.253.254.196:8000
吉林卫视,http://39.89.122.41:8188/rtp/239.253.254.173:8000
四川卫视,http://39.89.122.41:8188/rtp/239.253.254.180:8000
河南卫视,http://39.89.122.41:8188/rtp/239.253.254.190:8000
浙江卫视,http://39.89.122.41:8188/rtp/239.253.254.84:8000
浙江卫视,http://124.135.64.121:22222/rtp/239.253.254.84:8000
北京卫视,http://39.89.122.41:8188/rtp/239.253.254.85:8000
安徽卫视,http://117.12.150.180:4022/rtp/225.1.1.127:5002
山东教育卫视,http://42.238.246.97:8012/rtp/225.1.4.164:1205
东方卫视,http://39.89.122.41:8188/rtp/239.253.254.86:8000
深圳卫视,http://39.89.122.41:8188/rtp/239.253.254.91:8000
山东教育卫视,http://39.89.122.41:8188/rtp/239.253.254.59:8000
湖南卫视,http://39.89.122.41:8188/rtp/239.253.254.82:8000
湖北卫视,http://124.135.64.121:22222/rtp/239.253.254.88:8000
海南卫视,http://39.89.122.41:8188/rtp/239.253.254.179:8000
青海卫视,http://39.89.122.41:8188/rtp/239.253.254.195:8000
厦门卫视,http://42.238.246.97:8012/rtp/225.1.4.95:1124
江西卫视,http://117.12.150.180:4022/rtp/225.1.2.29:5002
四川卫视,http://117.12.150.180:4022/rtp/225.1.1.123:5002
山东教育卫视,http://117.12.150.180:4022/rtp/225.1.2.118:5002
重庆卫视,http://117.12.150.180:4022/rtp/225.1.1.155:5002
安徽卫视,http://42.238.246.97:8012/rtp/225.1.4.87:1116
甘肃卫视,http://39.89.122.41:8188/rtp/239.253.254.74:8000
重庆卫视,http://42.238.246.97:8012/rtp/225.1.4.157:1308
山东卫视,http://39.89.122.41:8188/rtp/239.253.254.78:8000
北京卫视,http://123.4.213.228:8188/rtp/225.1.4.81:1110
厦门卫视,http://123.4.213.228:8188/rtp/225.1.4.95:1124
河南卫视,http://117.12.150.180:4022/rtp/225.1.2.61:5002
江西卫视,http://39.89.122.41:8188/rtp/239.253.254.47:8000
湖北卫视,http://39.89.122.41:8188/rtp/239.253.254.88:8000
贵州卫视,http://39.89.122.41:8188/rtp/239.253.254.113:8000
吉林卫视,http://117.12.150.180:4022/rtp/225.1.2.26:5002
重庆卫视,http://39.89.122.41:8188/rtp/239.253.254.38:8000
黑龙江卫视,http://39.89.122.41:8188/rtp/239.253.254.93:8000
广东卫视,http://39.89.122.41:8188/rtp/239.253.254.90:8000
东方卫视,http://124.135.64.121:22222/rtp/239.253.254.86:8000
广东卫视,http://124.135.64.121:22222/rtp/239.253.254.90:8000
河北卫视,http://39.89.122.41:8188/rtp/239.253.254.112:8000
深圳卫视,http://124.135.64.121:22222/rtp/239.253.254.91:8000
江苏卫视,http://39.89.122.41:8188/rtp/239.253.254.83:8000
贵州卫视,http://124.135.64.121:22222/rtp/239.253.254.113:8000
四川卫视,http://121.29.169.89:7777/rtp/239.253.92.16:6043
湖南卫视,http://117.12.150.180:4022/rtp/225.1.1.114:5002
西藏卫视,http://117.12.150.180:4022/rtp/225.1.1.51:5002
江苏卫视,http://117.12.150.180:4022/rtp/225.1.1.126:5002
广西卫视,http://117.12.150.180:4022/rtp/225.1.2.81:5002
甘肃卫视,http://124.135.64.121:22222/rtp/239.253.254.74:8000
三沙卫视,http://117.12.150.180:4022/rtp/225.1.2.181:5002
四川卫视,http://124.135.64.121:22222/rtp/239.253.254.180:8000
河北卫视,http://117.12.150.180:4022/rtp/225.1.2.27:5002
深圳卫视,http://117.12.150.180:4022/rtp/225.1.1.117:5002
河北卫视,http://124.135.64.121:22222/rtp/239.253.254.112:8000
甘肃卫视,http://117.12.150.180:4022/rtp/225.1.1.30:5002
天津卫视,http://121.29.169.117:7777/rtp/239.253.92.91:8021
江苏卫视,http://124.135.64.121:22222/rtp/239.253.254.83:8000
黑龙江卫视,http://121.29.169.117:8888/rtp/239.253.92.85:8016
山西卫视,http://111.196.129.187:20000/rtp/239.3.1.42:8172
贵州卫视,http://117.12.150.180:4022/rtp/225.1.2.28:5002
安徽卫视,http://121.29.169.117:7777/rtp/239.253.92.209:6566
山东卫视,http://111.196.129.187:20000/rtp/239.3.1.209:8052
天津卫视,http://121.29.215.236:8888/rtp/239.253.92.91:8021
东南卫视,http://111.196.129.187:20000/rtp/239.3.1.156:8148
辽宁卫视,http://39.89.122.41:8188/rtp/239.253.254.92:8000
河北卫视,http://114.254.37.241:18888/rtp/239.3.1.148:8072
三沙卫视,http://42.238.246.97:8012/rtp/225.1.4.234:1280
广西卫视,http://39.89.122.41:8188/rtp/239.253.254.197:8000
兵团卫视,http://42.238.246.97:8012/rtp/225.1.4.97:1126
河南卫视,http://121.29.133.109:8888/rtp/239.253.92.137:6144
内蒙古卫视,http://42.238.246.97:8012/rtp/225.1.4.45:1074
东南卫视,http://39.89.122.41:8188/rtp/239.253.254.105:8000
云南卫视,http://117.12.150.180:4022/rtp/225.1.1.61:5002
天津卫视,http://117.12.150.180:4022/rtp/225.1.1.111:5002
海南卫视,http://117.12.150.180:4022/rtp/225.1.2.82:5002
兵团卫视,http://117.12.150.180:4022/rtp/225.1.1.57:5002
兵团卫视,http://121.29.169.205:7777/rtp/239.253.93.176:6344
东方卫视,http://117.12.150.180:4022/rtp/225.1.2.31:5002
山东卫视,http://42.238.246.97:8012/rtp/225.1.4.88:1117
西藏卫视,http://111.196.129.187:20000/rtp/239.3.1.47:8164
湖南卫视,http://124.135.64.121:22222/rtp/239.253.254.82:8000
海南卫视,http://121.29.169.205:7777/rtp/239.253.93.155:6323
宁夏卫视,http://117.12.150.180:4022/rtp/225.1.1.56:5002
东南卫视,http://121.29.169.89:8888/rtp/239.253.92.201:6146
青海卫视,http://42.238.246.97:8012/rtp/225.1.4.44:1073
东方卫视,http://121.29.169.205:8888/rtp/239.253.92.89:8019
湖北卫视,http://123.4.213.228:8188/rtp/225.1.4.89:1118
贵州卫视,http://123.4.213.228:8188/rtp/225.1.4.122:1302
江苏卫视,http://123.4.213.228:8188/rtp/225.1.4.83:1112
兵团卫视,http://114.254.37.241:18888/rtp/239.3.1.144:4120
吉林卫视,http://121.29.215.236:7777/rtp/239.253.92.202:6147
辽宁卫视,http://121.29.169.89:8888/rtp/239.253.92.115:6056
云南卫视,http://111.196.129.187:20000/rtp/239.3.1.26:8108
黑龙江卫视,http://42.238.246.97:8012/rtp/225.1.4.91:1120
内蒙古卫视,http://123.4.213.228:8188/rtp/225.1.4.45:1074
河南卫视,http://124.135.64.121:22222/rtp/239.253.254.190:8000
河南卫视,http://111.196.129.187:20000/rtp/239.3.1.27:8128
东南卫视,http://42.238.246.97:8012/rtp/225.1.4.228:1274
北京卫视,http://117.12.150.180:4022/rtp/225.1.1.113:5002
西藏卫视,http://114.254.37.241:18888/rtp/239.3.1.47:8164
辽宁卫视,http://111.196.129.187:20000/rtp/239.3.1.210:8056
黑龙江卫视,http://117.12.150.180:4022/rtp/225.1.1.115:5002
广西卫视,http://124.135.64.121:22222/rtp/239.253.254.197:8000
海南卫视,http://124.135.64.121:22222/rtp/239.253.254.179:8000
贵州卫视,http://171.119.205.171:6000/rtp/226.0.2.180:9352
四川卫视,http://121.29.169.117:7777/rtp/239.253.92.16:6043
贵州卫视,http://42.238.246.97:8012/rtp/225.1.4.122:1302
内蒙古卫视,http://111.196.129.187:20000/rtp/239.3.1.43:8176
西藏卫视,http://42.238.246.97:8012/rtp/225.1.4.46:1075
厦门卫视,http://111.196.129.187:20000/rtp/239.3.1.143:4120
湖南卫视,http://121.29.169.117:7777/rtp/239.253.92.84:8015
广东卫视,http://121.29.169.117:8888/rtp/239.253.92.206:8108
湖北卫视,http://42.238.246.97:8012/rtp/225.1.4.89:1118
兵团卫视,http://111.196.129.187:20000/rtp/239.3.1.144:4120
东方卫视,http://42.238.246.97:8012/rtp/225.1.4.85:1114
三沙卫视,http://111.196.129.187:20000/rtp/239.3.1.155:4120
陕西卫视,http://111.196.129.187:20000/rtp/239.3.1.41:8140
东方卫视,http://121.29.169.117:8888/rtp/239.253.92.89:8019
浙江卫视,http://42.238.246.97:8012/rtp/225.1.4.84:1113
广西卫视,http://42.238.246.97:8012/rtp/225.1.4.31:1060
东方卫视,http://111.196.129.187:20000/rtp/239.3.1.136:8032
新疆卫视,http://117.12.150.180:4022/rtp/225.1.1.35:5002
新疆卫视,http://42.238.246.97:8012/rtp/225.1.4.47:1076
湖南卫视,http://121.29.169.89:8888/rtp/239.253.92.84:8015
安徽卫视,http://39.89.122.41:8188/rtp/239.253.254.87:8000
江西卫视,http://114.254.37.241:18888/rtp/239.3.1.123:8164
浙江卫视,http://121.29.133.109:8888/rtp/239.253.92.90:8020
兵团卫视,http://121.29.169.89:7777/rtp/239.253.93.176:6344
内蒙古卫视,http://117.12.150.180:4022/rtp/225.1.1.32:5002
贵州卫视,http://111.196.129.187:20000/rtp/239.3.1.149:8076
河北卫视,http://42.238.246.97:8012/rtp/225.1.4.123:1304
河北卫视,http://121.29.169.117:7777/rtp/239.253.92.154:6011
辽宁卫视,http://121.29.169.117:7777/rtp/239.253.92.115:6056
吉林卫视,http://124.135.64.121:22222/rtp/239.253.254.173:8000
东南卫视,http://121.29.215.236:7777/rtp/239.253.92.201:6146
四川卫视,http://42.238.246.97:8012/rtp/225.1.4.151:1306
宁夏卫视,http://42.238.246.97:8012/rtp/225.1.4.43:1072
四川卫视,http://114.254.37.241:18888/rtp/239.3.1.29:8288
广东卫视,http://121.29.133.109:8888/rtp/239.253.92.206:8108
辽宁卫视,http://42.238.246.97:8012/rtp/225.1.4.167:1208
辽宁卫视,http://121.29.169.117:8888/rtp/239.253.92.115:6056
山东教育卫视,http://124.135.64.121:22222/rtp/239.253.254.59:8000
深圳卫视,http://114.254.37.241:18888/rtp/239.3.1.134:8020
新疆卫视,http://111.196.129.187:20000/rtp/239.3.1.48:8160
深圳卫视,http://121.29.133.109:8888/rtp/239.253.92.86:8017
贵州卫视,http://121.29.215.236:7777/rtp/239.253.92.105:6055
青海卫视,http://117.12.150.180:4022/rtp/225.1.1.54:5002
东方卫视,http://171.119.205.171:6000/rtp/226.0.2.175:9312
四川卫视,http://171.119.205.171:6000/rtp/226.0.2.179:9344
陕西卫视,http://42.238.246.97:8012/rtp/225.1.4.39:1068
广东卫视,http://117.12.150.180:4022/rtp/225.1.1.116:5002
山东卫视,http://124.135.64.121:22222/rtp/239.253.254.78:8000
浙江卫视,http://121.29.169.117:7777/rtp/239.253.92.90:8020
吉林卫视,http://42.238.246.97:8012/rtp/225.1.4.174:1309
东方卫视,http://121.29.215.236:7777/rtp/239.253.92.89:8019
黑龙江卫视,http://121.29.169.89:8888/rtp/239.253.92.85:8016
江苏卫视,http://114.254.37.241:18888/rtp/239.3.1.135:8028
宁夏卫视,http://123.4.213.228:8188/rtp/225.1.4.43:1072
甘肃卫视,http://123.4.213.228:8188/rtp/225.1.4.42:1071
山西卫视,http://42.238.246.97:8012/rtp/225.1.4.38:1067
河北卫视,http://111.196.129.187:20000/rtp/239.3.1.148:8072
广东卫视,http://121.29.169.117:7777/rtp/239.253.92.206:8108
河南卫视,http://42.238.246.97:8012/rtp/225.1.4.98:1127
甘肃卫视,http://114.254.37.241:18888/rtp/239.3.1.49:8188
贵州卫视,http://121.29.133.109:8888/rtp/239.253.92.105:6055
山西卫视,http://117.12.150.180:4022/rtp/225.1.1.50:5002
湖北卫视,http://117.12.150.180:4022/rtp/225.1.1.147:5002
江苏卫视,http://42.238.246.97:8012/rtp/225.1.4.83:1112
山东卫视,http://121.29.169.117:8888/rtp/239.253.92.207:8109
安徽卫视,http://114.254.37.241:18888/rtp/239.3.1.211:8064
江西卫视,http://121.29.215.236:7777/rtp/239.253.92.19:6145
山西卫视,http://114.254.37.241:18888/rtp/239.3.1.42:8172
重庆卫视,http://121.29.215.236:8888/rtp/239.253.92.10:6053
