吉林频道,#genre#
延边卫视,http://219.141.45.102:8188/rtp/238.255.2.204:5999
延边卫视,http://218.86.187.40:8188/rtp/238.255.2.204:5999
延边卫视,http://219.141.45.235:8188/rtp/238.255.2.204:5999
延边卫视,http://116.2.167.167:4010/rtp/232.0.0.161:1234
延边卫视,http://61.159.135.101:4022/rtp/238.255.2.204:5999
延边卫视,http://219.141.45.25:8188/rtp/238.255.2.204:5999
延边卫视,http://218.8.87.96:4000/rtp/229.58.190.108:5000
延边卫视,http://1.58.243.207:4001/rtp/229.58.190.108:5000
延边卫视,http://1.58.243.207:4000/rtp/229.58.190.108:5000
延边卫视,http://1.58.246.23:4000/rtp/229.58.190.108:5000
延边卫视,http://1.58.246.23:4001/rtp/229.58.190.108:5000
延边卫视,http://222.169.99.87:7777/rtp/239.37.0.116:5540
磐石综合,http://222.169.99.87:7777/rtp/239.37.0.164:5540
延边卫视,http://61.159.134.106:4022/rtp/238.255.2.204:5999
延边卫视,http://218.86.184.144:4022/rtp/238.255.2.204:5999
