四川频道,#genre#
康巴卫视,http://218.86.187.40:8188/rtp/238.255.2.140:5999
康巴卫视,http://61.159.135.101:4022/rtp/238.255.2.140:5999
康巴卫视,http://222.67.24.171:1688/rtp/239.45.1.251:5140
康巴卫视,http://171.213.157.52:9999/udp/239.93.0.41:5140
康巴卫视,http://171.213.208.39:4022/udp/239.93.0.41:5140
四川科教,http://171.213.222.241:4022/udp/239.93.42.44:5140
四川科教,http://171.213.133.9:1880/udp/239.93.42.44:5140
四川科教,http://171.213.155.138:9999/udp/239.93.42.44:5140
康巴卫视,http://171.213.155.138:9999/udp/239.93.0.41:5140
康巴卫视,http://171.213.133.9:1880/udp/239.93.0.41:5140
四川科教,http://171.213.229.178:5555/udp/239.93.42.44:5140
四川科教,http://171.213.157.52:9999/udp/239.93.42.44:5140
康巴卫视,http://171.213.222.241:4022/udp/239.93.0.41:5140
康巴卫视,http://171.213.211.24:4022/udp/239.93.0.41:5140
四川科教,http://171.213.211.24:4022/udp/239.93.42.44:5140
四川科教,http://171.213.208.39:4022/udp/239.93.42.44:5140
康巴卫视,http://218.1.138.50:4022/rtp/239.45.1.251:5140
康巴卫视,http://180.165.24.227:4022/rtp/239.45.1.251:5140
康巴卫视,http://171.213.229.178:5555/udp/239.93.0.41:5140
康巴卫视,http://61.159.134.106:4022/rtp/238.255.2.140:5999
康巴卫视,http://219.141.45.102:8188/rtp/238.255.2.140:5999
康巴卫视,http://218.86.184.144:4022/rtp/238.255.2.140:5999
康巴卫视,http://219.141.45.25:8188/rtp/238.255.2.140:5999
