山东频道,#genre#
山东少儿,http://39.89.122.41:8188/rtp/239.253.254.25:8000
山东新闻,http://39.89.122.41:8188/rtp/239.253.254.23:8000
山东少儿,http://124.135.64.121:22222/rtp/239.253.254.25:8000
山东新闻,http://124.135.64.121:22222/rtp/239.253.254.23:8000
青州综合,http://144.255.44.197:4022/udp/239.21.1.232:5002
济宁综合,http://144.123.76.157:8188/udp/239.21.2.19:5002
日照科教,http://144.255.44.197:4022/udp/239.21.1.80:5002
烟台新闻综合,http://144.123.76.157:8188/udp/239.21.1.116:5002
滨州公共,http://144.123.76.157:8188/udp/239.21.1.119:5002
济宁综合,http://144.255.44.197:4022/udp/239.21.2.19:5002
济宁综合,http://144.255.44.160:7788/udp/239.21.2.19:5002
烟台经济科技,http://144.123.76.157:8188/udp/239.21.1.205:5002
山东新闻,http://144.255.44.197:4022/udp/239.21.1.140:5002
济宁公共,http://144.255.44.160:7788/udp/239.21.2.20:5002
潍坊新闻综合,http://144.255.44.197:4022/udp/239.21.1.77:5002
潍坊新闻综合,http://144.255.44.160:7788/udp/239.21.1.77:5002
济南鲁中,http://144.255.44.160:7788/udp/239.21.1.149:5002
山东少儿,http://144.123.76.157:8188/udp/239.21.1.208:5002
济宁公共,http://144.255.44.197:4022/udp/239.21.2.20:5002
济宁公共,http://144.123.76.157:8188/udp/239.21.2.20:5002
济南鲁中,http://144.123.76.157:8188/udp/239.21.1.149:5002
日照科教,http://144.123.76.157:8188/udp/239.21.1.80:5002
烟台公共,http://144.255.44.197:4022/udp/239.21.1.117:5002
烟台公共,http://144.123.76.157:8188/udp/239.21.1.117:5002
滨州公共,http://144.255.44.160:7788/udp/239.21.1.119:5002
潍坊新闻综合,http://144.123.76.157:8188/udp/239.21.1.77:5002
日照科教,http://144.255.44.160:7788/udp/239.21.1.80:5002
山东少儿,http://144.255.44.197:4022/udp/239.21.1.208:5002
山东新闻,http://144.255.44.160:7788/udp/239.21.1.140:5002
烟台公共,http://144.255.44.160:7788/udp/239.21.1.117:5002
烟台新闻综合,http://144.255.44.160:7788/udp/239.21.1.116:5002
山东新闻,http://144.123.76.157:8188/udp/239.21.1.140:5002
烟台经济科技,http://144.255.44.160:7788/udp/239.21.1.205:5002
青州综合,http://144.255.44.160:7788/udp/239.21.1.232:5002
山东少儿,http://144.255.44.160:7788/udp/239.21.1.208:5002
济南鲁中,http://144.255.44.197:4022/udp/239.21.1.149:5002
滨州公共,http://144.255.44.197:4022/udp/239.21.1.119:5002
济宁综合,http://140.250.221.14:4022/udp/239.21.2.19:5002
山东新闻,http://140.250.221.14:4022/udp/239.21.1.140:5002
青州综合,http://140.250.221.14:4022/udp/239.21.1.232:5002
潍坊新闻综合,http://140.250.221.14:4022/udp/239.21.1.77:5002
烟台新闻综合,http://140.250.221.14:4022/udp/239.21.1.116:5002
济宁公共,http://140.250.221.14:4022/udp/239.21.2.20:5002
滨州公共,http://140.250.221.14:4022/udp/239.21.1.119:5002
烟台公共,http://140.250.221.14:4022/udp/239.21.1.117:5002
济南鲁中,http://140.250.221.14:4022/udp/239.21.1.149:5002
日照科教,http://140.250.221.14:4022/udp/239.21.1.80:5002
烟台经济科技,http://144.255.44.197:4022/udp/239.21.1.205:5002
青州综合,http://144.123.76.157:8188/udp/239.21.1.232:5002
烟台新闻综合,http://144.255.44.197:4022/udp/239.21.1.116:5002
烟台经济科技,http://140.250.221.14:4022/udp/239.21.1.205:5002
