广东频道,#genre#
广东珠江,http://116.23.98.153:7188/udp/239.77.0.114:5146
江门综合,http://116.23.98.153:7188/udp/239.77.0.201:5146
深圳少儿,http://61.140.125.229:10022/udp/239.77.1.244:5146
汕头经济生活,http://116.23.98.153:7188/udp/239.253.43.46:5146
江门侨乡生活,http://116.23.98.153:7188/udp/239.77.0.202:5146
深圳少儿,http://116.23.98.153:7188/udp/239.77.1.244:5146
河源公共,http://116.23.98.153:7188/udp/239.253.43.214:5146
佛山综合,http://116.23.98.153:7188/udp/239.253.43.57:5146
深圳财经生活,http://116.23.98.153:7188/udp/239.77.1.242:5146
汕头经济生活,http://113.101.245.46:9988/udp/239.253.43.46:5146
佛山综合,http://61.140.125.229:10022/udp/239.253.43.57:5146
汕尾新闻综合,http://116.23.98.153:7188/udp/239.77.0.25:5146
汕尾文化生活,http://116.23.98.153:7188/udp/239.77.0.187:5146
广州影视,http://116.23.98.153:7188/udp/239.253.43.73:5146
河源综合,http://116.23.98.153:7188/udp/239.253.43.213:5146
河源公共,http://61.140.125.229:10022/udp/239.253.43.214:5146
汕头综合,http://113.101.245.46:9988/udp/239.253.43.45:5146
南国都市,http://61.140.125.229:10022/udp/239.253.43.99:5146
河源综合,http://113.101.245.46:9988/udp/239.253.43.213:5146
茂名综合,http://61.140.125.229:10022/udp/239.77.0.206:5146
广州综合,http://61.140.125.229:10022/udp/239.253.43.71:5146
佛山影视,http://116.23.98.153:7188/udp/239.253.43.56:5146
江门综合,http://61.140.125.229:10022/udp/239.77.0.201:5146
南国都市,http://116.23.98.153:7188/udp/239.253.43.99:5146
河源综合,http://61.140.125.229:10022/udp/239.253.43.213:5146
广东新闻,http://61.140.125.229:10022/udp/239.77.0.173:5146
广东珠江,http://113.101.245.46:9988/udp/239.77.0.1:5146
广东新闻,http://116.23.98.153:7188/udp/239.77.0.173:5146
广州综合,http://116.23.98.153:7188/udp/239.253.43.71:5146
茂名综合,http://116.23.98.153:7188/udp/239.77.0.206:5146
云浮综合,http://116.23.98.153:7188/udp/239.77.0.253:5146
广东珠江,http://116.23.98.153:7188/udp/239.77.0.1:5146
深圳财经生活,http://113.101.245.46:9988/udp/239.77.1.242:5146
广州新闻,http://113.101.245.46:9988/udp/239.253.43.72:5146
汕尾新闻综合,http://113.101.245.46:9988/udp/239.77.0.25:5146
广州新闻,http://116.23.98.153:7188/udp/239.253.43.72:5146
江门侨乡生活,http://113.101.245.46:9988/udp/239.77.0.202:5146
汕头综合,http://116.23.98.153:7188/udp/239.253.43.45:5146
广东新闻,http://59.35.185.47:8188/udp/239.77.0.173:5146
佛山影视,http://61.140.125.229:10022/udp/239.253.43.56:5146
汕尾文化生活,http://113.101.245.46:9988/udp/239.77.0.187:5146
广东珠江,http://61.140.125.229:10022/udp/239.77.0.1:5146
广州新闻,http://59.35.185.47:8188/udp/239.253.43.72:5146
江门侨乡生活,http://61.140.125.229:10022/udp/239.77.0.202:5146
汕头综合,http://59.35.185.47:8188/udp/239.253.43.45:5146
南国都市,http://113.101.245.46:9988/udp/239.253.43.99:5146
广东珠江,http://61.140.125.229:10022/udp/239.77.0.114:5146
汕尾新闻综合,http://59.35.185.47:8188/udp/239.77.0.25:5146
广州影视,http://59.35.185.47:8188/udp/239.253.43.73:5146
江门综合,http://59.35.185.47:8188/udp/239.77.0.201:5146
江门综合,http://113.101.245.46:9988/udp/239.77.0.201:5146
深圳少儿,http://59.35.185.47:8188/udp/239.77.1.244:5146
云浮综合,http://61.140.125.229:10022/udp/239.77.0.253:5146
汕头经济生活,http://61.140.125.229:10022/udp/239.253.43.46:5146
云浮综合,http://113.101.245.46:9988/udp/239.77.0.253:5146
佛山影视,http://59.35.185.47:8188/udp/239.253.43.56:5146
汕头综合,http://61.140.125.229:10022/udp/239.253.43.45:5146
广州综合,http://113.101.245.46:9988/udp/239.253.43.71:5146
汕头经济生活,http://59.35.185.47:8188/udp/239.253.43.46:5146
南国都市,http://59.35.185.47:8188/udp/239.253.43.99:5146
佛山公共,http://59.35.185.47:8188/udp/239.253.43.53:5146
河源公共,http://113.101.245.46:9988/udp/239.253.43.214:5146
深圳财经生活,http://59.35.185.47:8188/udp/239.77.1.242:5146
云浮综合,http://59.35.185.47:8188/udp/239.77.0.253:5146
广东珠江,http://59.35.185.47:8188/udp/239.77.0.1:5146
河源综合,http://59.35.185.47:8188/udp/239.253.43.213:5146
茂名综合,http://59.35.185.47:8188/udp/239.77.0.206:5146
广东珠江,http://113.104.185.171:7088/udp/239.77.0.114:5146
汕头综合,http://113.104.185.171:7088/udp/239.253.43.45:5146
深圳财经生活,http://113.104.185.171:7088/udp/239.77.1.242:5146
江门综合,http://113.104.185.171:7088/udp/239.77.0.201:5146
广东新闻,http://113.104.185.171:7088/udp/239.77.0.173:5146
汕尾新闻综合,http://113.104.185.171:7088/udp/239.77.0.25:5146
深圳少儿,http://113.104.185.171:7088/udp/239.77.1.244:5146
广东珠江,http://113.104.185.171:7088/udp/239.77.0.1:5146
江门侨乡生活,http://113.104.185.171:7088/udp/239.77.0.202:5146
汕头经济生活,http://113.104.185.171:7088/udp/239.253.43.46:5146
河源公共,http://113.104.185.171:7088/udp/239.253.43.214:5146
广州综合,http://113.104.185.171:7088/udp/239.253.43.71:5146
佛山公共,http://113.104.185.171:7088/udp/239.253.43.53:5146
佛山公共,http://116.23.98.153:7188/udp/239.253.43.53:5146
佛山公共,http://113.101.245.46:9988/udp/239.253.43.53:5146
佛山影视,http://113.101.245.46:9988/udp/239.253.43.56:5146
汕尾文化生活,http://59.35.185.47:8188/udp/239.77.0.187:5146
佛山综合,http://113.101.245.46:9988/udp/239.253.43.57:5146
广州综合,http://59.35.185.47:8188/udp/239.253.43.71:5146
汕尾新闻综合,http://61.140.125.229:10022/udp/239.77.0.25:5146
江门侨乡生活,http://59.35.185.47:8188/udp/239.77.0.202:5146
