影视轮播频道,#genre#
佛山影视,http://61.140.125.229:10022/udp/239.253.43.56:5146
佛山影视,http://113.101.245.46:9988/udp/239.253.43.56:5146
精彩影视,http://117.12.150.180:4022/rtp/225.1.1.141:5002
精彩影视,http://39.89.122.41:8188/rtp/239.253.254.142:8000
广东影视,http://113.101.245.46:9988/udp/239.77.0.217:5146
广东影视,http://116.23.98.153:7188/udp/239.77.0.217:5146
安徽影视,http://183.166.144.138:8688/rtp/238.1.79.42:4448
安徽影视,http://183.166.145.113:8688/rtp/238.1.79.42:4448
精彩影视,http://124.135.64.121:22222/rtp/239.253.254.142:8000
北京影视,http://111.196.129.187:20000/rtp/239.3.1.158:8000
CHC电影,http://171.119.207.220:6000/rtp/226.0.2.93:8004
湖北影视,http://119.98.133.143:8088/rtp/239.69.1.204:10866
CHC电影,http://171.119.205.58:6000/rtp/226.0.2.93:8004
佛山影视,http://59.35.185.47:8188/udp/239.253.43.56:5146
南宁影视娱乐,http://222.218.122.114:8188/udp/239.81.0.128:4056
北京影视,http://114.254.37.241:18888/rtp/239.3.1.158:8000
湖北影视,http://221.234.128.5:4022/rtp/239.69.1.204:10866
湖南电影,http://220.169.100.41:10087/udp/239.76.246.106:1234
山西影视,http://171.119.205.58:6000/rtp/226.0.2.237:9808
山西影视,http://171.119.207.220:6000/rtp/226.0.2.237:9808
湖南电影,http://175.8.129.208:4000/udp/239.76.246.106:1234
湖南电视剧,http://175.8.129.208:4000/udp/239.76.245.118:1234
济南影视,http://144.255.44.160:7788/udp/239.21.1.65:5002
山西影视,http://118.78.196.46:55555/rtp/226.0.2.237:9808
湖北影视,http://122.189.103.140:8010/rtp/228.0.0.205:6108
杭州影视,http://125.123.121.210:8188/udp/233.50.201.176:5140
山西影视,http://171.119.205.171:6000/rtp/226.0.2.237:9808
湖北影视,http://119.98.98.208:4022/rtp/239.69.1.204:10866
济南影视,http://144.123.76.157:8188/udp/239.21.1.65:5002
广东影视,http://59.35.185.47:8188/udp/239.77.0.217:5146
湖南电视剧,http://58.46.69.155:8188/udp/239.76.252.118:9000
CHC电影,http://171.119.205.171:6000/rtp/226.0.2.93:8004
湖南电视剧,http://175.8.129.208:4000/udp/239.76.253.108:9000
湖南电影,http://175.8.129.208:4000/udp/239.76.253.106:9000
