数字频道,#genre#
欢笑剧场,http://222.67.24.171:1688/rtp/239.45.3.196:5140
金色学堂,http://222.67.24.171:1688/rtp/239.45.0.9:5140
睛彩篮球,http://116.23.98.153:7188/udp/239.77.1.21:5146
魅力足球,http://39.89.122.41:8188/rtp/239.253.254.100:8000
金鹰纪实,http://39.89.122.41:8188/rtp/239.253.254.103:8000
金鹰纪实,http://183.164.63.167:5000/rtp/238.1.79.9:4184
快乐垂钓,http://39.89.122.41:8188/rtp/239.253.254.144:8000
快乐垂钓,http://121.29.169.89:8888/rtp/239.253.93.213:6391
睛彩篮球,http://61.140.125.229:10022/udp/239.77.1.21:5146
天元围棋,http://121.29.169.117:8888/rtp/239.253.93.211:6389
睛彩篮球,http://113.101.245.46:9988/udp/239.77.1.21:5146
魅力足球,http://117.12.150.180:4022/rtp/225.1.1.137:5002
魅力足球,http://124.135.64.121:22222/rtp/239.253.254.100:8000
中国天气,http://112.66.74.84:8188/rtp/239.253.64.79:5140
金鹰纪实,http://123.4.213.228:8188/rtp/225.1.4.172:1711
天元围棋,http://121.29.169.117:7777/rtp/239.253.93.211:6389
金鹰纪实,http://117.12.150.180:4022/rtp/225.1.1.124:5002
快乐垂钓,http://183.164.63.167:5000/rtp/238.1.79.31:4360
金鹰纪实,http://222.67.24.171:1688/rtp/239.45.1.45:5140
快乐垂钓,http://183.166.145.113:8688/rtp/238.1.79.31:4360
金鹰纪实,http://121.29.169.205:7777/rtp/239.253.92.103:6054
金鹰纪实,http://121.29.215.236:7777/rtp/239.253.92.103:6054
快乐垂钓,http://121.29.169.89:7777/rtp/239.253.93.213:6391
金鹰纪实,http://124.135.64.121:22222/rtp/239.253.254.103:8000
快乐垂钓,http://121.29.169.117:8888/rtp/239.253.93.213:6391
中国天气,http://220.169.100.41:10087/udp/239.76.253.61:9000
中国天气,http://171.119.205.171:6000/rtp/226.0.2.103:8736
金鹰纪实,http://58.46.69.155:8188/udp/239.76.252.122:9000
快乐垂钓,http://124.135.64.121:22222/rtp/239.253.254.144:8000
金鹰纪实,http://114.107.45.71:8188/rtp/238.1.79.9:4184
中国天气,http://117.30.59.104:18888/rtp/239.61.2.64:8378
金鹰纪实,http://220.169.100.41:10087/udp/239.76.245.122:1234
睛彩竞技,http://114.254.37.241:18888/rtp/239.3.1.125:8001
