河南频道,#genre#
河南都市,http://42.238.246.97:8012/rtp/225.1.4.52:1081
河南都市,http://123.4.213.228:8188/rtp/225.1.4.52:1081
河南民生,http://1.192.242.184:8188/rtp/239.16.20.165:11650
河南民生,http://42.238.246.97:8012/rtp/225.1.4.53:1082
嵩县综合新闻,http://1.196.152.100:2001/rtp/239.16.20.234:12340
周口新闻综合,http://1.196.152.44:2001/rtp/239.16.10.59:2000
河南民生,http://1.196.152.27:2001/rtp/239.16.20.165:11650
周口新闻综合,http://1.196.152.212:2001/rtp/239.16.10.59:2000
河南民生,http://1.196.152.23:2001/rtp/239.16.20.165:11650
许昌农业科教,http://1.196.152.44:2001/rtp/239.16.10.60:2000
河南民生,http://123.4.213.228:8188/rtp/225.1.4.53:1082
河南都市,http://1.196.152.44:2001/rtp/239.16.20.164:11640
嵩县综合新闻,http://1.196.152.23:2001/rtp/239.16.20.234:12340
荥阳综合,http://1.196.152.100:2001/rtp/239.16.20.44:10440
荥阳综合,http://1.196.152.44:2001/rtp/239.16.20.44:10440
周口新闻综合,http://1.192.242.184:8188/rtp/239.16.10.59:2000
许昌农业科教,http://1.196.152.27:2001/rtp/239.16.10.60:2000
周口新闻综合,http://1.196.152.27:2001/rtp/239.16.10.59:2000
河南民生,http://1.195.229.250:8822/rtp/239.16.20.165:11650
荥阳综合,http://1.196.152.23:2001/rtp/239.16.20.44:10440
嵩县综合新闻,http://1.192.242.184:8188/rtp/239.16.20.234:12340
河南民生,http://1.196.152.44:2001/rtp/239.16.20.165:11650
河南都市,http://1.195.229.250:8822/rtp/239.16.20.164:11640
荥阳综合,http://1.196.152.27:2001/rtp/239.16.20.44:10440
河南民生,http://1.196.152.100:2001/rtp/239.16.20.165:11650
许昌农业科教,http://1.195.229.250:8822/rtp/239.16.10.60:2000
许昌农业科教,http://1.196.152.23:2001/rtp/239.16.10.60:2000
河南都市,http://1.192.242.184:8188/rtp/239.16.20.164:11640
周口新闻综合,http://1.195.229.250:8822/rtp/239.16.10.59:2000
河南都市,http://1.196.152.212:2001/rtp/239.16.20.164:11640
嵩县综合新闻,http://1.195.229.250:8822/rtp/239.16.20.234:12340
荥阳综合,http://1.196.152.212:2001/rtp/239.16.20.44:10440
嵩县综合新闻,http://1.196.152.44:2001/rtp/239.16.20.234:12340
荥阳综合,http://1.195.229.250:8822/rtp/239.16.20.44:10440
许昌农业科教,http://1.192.242.184:8188/rtp/239.16.10.60:2000
河南都市,http://1.196.152.100:2001/rtp/239.16.20.164:11640
许昌农业科教,http://1.196.152.100:2001/rtp/239.16.10.60:2000
嵩县综合新闻,http://1.196.152.212:2001/rtp/239.16.20.234:12340
许昌农业科教,http://1.196.152.212:2001/rtp/239.16.10.60:2000
嵩县综合新闻,http://1.196.152.27:2001/rtp/239.16.20.234:12340
河南都市,http://1.196.152.23:2001/rtp/239.16.20.164:11640
河南都市,http://1.196.152.27:2001/rtp/239.16.20.164:11640
周口新闻综合,http://1.196.152.100:2001/rtp/239.16.10.59:2000
周口新闻综合,http://1.196.152.23:2001/rtp/239.16.10.59:2000
荥阳综合,http://1.192.242.184:8188/rtp/239.16.20.44:10440
河南民生,http://1.196.152.212:2001/rtp/239.16.20.165:11650
