浙江频道,#genre#
浙江少儿,http://125.123.121.210:8188/udp/233.50.201.138:5140
浙江民生休闲,http://125.123.121.210:8188/udp/233.50.201.136:5140
杭州青少,http://183.130.35.79:9011/udp/233.50.201.177:5140
绍兴新闻综合,http://125.123.121.210:8188/udp/233.50.201.156:5140
温州新闻综合,http://125.123.121.210:8188/udp/233.50.201.87:5140
温州新闻综合,http://183.130.35.79:9011/udp/233.50.201.87:5140
浙江少儿,http://183.130.35.79:9011/udp/233.50.201.138:5140
杭州综合,http://183.130.35.79:9011/udp/233.50.201.173:5140
浙江新闻,http://125.123.121.210:8188/udp/233.50.201.137:5140
杭州生活,http://183.130.35.79:9011/udp/233.50.201.175:5140
浙江钱江,http://125.123.121.210:8188/udp/233.50.201.132:5140
杭州青少,http://125.123.121.210:8188/udp/233.50.201.177:5140
杭州综合,http://125.123.121.210:8188/udp/233.50.201.173:5140
杭州影视,http://125.123.121.210:8188/udp/233.50.201.176:5140
绍兴新闻综合,http://183.130.35.79:9011/udp/233.50.201.156:5140
浙江经济生活,http://125.123.121.210:8188/udp/233.50.201.133:5140
杭州生活,http://125.123.121.210:8188/udp/233.50.201.175:5140
浙江新闻,http://183.130.35.79:9011/udp/233.50.201.137:5140
杭州影视,http://183.130.35.79:9011/udp/233.50.201.176:5140
浙江经济生活,http://183.130.35.79:9011/udp/233.50.201.133:5140
浙江民生休闲,http://183.130.35.79:9011/udp/233.50.201.136:5140
浙江民生休闲,http://115.192.237.86:4022/udp/233.50.201.136:5140
浙江少儿,http://115.192.237.86:4022/udp/233.50.201.138:5140
杭州综合,http://115.192.237.86:4022/udp/233.50.201.173:5140
杭州影视,http://115.192.237.86:4022/udp/233.50.201.176:5140
浙江钱江,http://115.192.237.86:4022/udp/233.50.201.132:5140
杭州生活,http://115.192.237.86:4022/udp/233.50.201.175:5140
绍兴新闻综合,http://115.192.237.86:4022/udp/233.50.201.156:5140
浙江新闻,http://115.192.237.86:4022/udp/233.50.201.137:5140
浙江经济生活,http://115.192.237.86:4022/udp/233.50.201.133:5140
杭州青少,http://115.192.237.86:4022/udp/233.50.201.177:5140
温州新闻综合,http://115.192.237.86:4022/udp/233.50.201.87:5140
浙江钱江,http://183.130.35.79:9011/udp/233.50.201.132:5140
