港台频道,#genre#
凤凰资讯,http://183.130.35.79:9011/udp/233.50.200.192:5140
凤凰中文,http://125.123.121.210:8188/udp/233.50.200.191:5140
凤凰资讯,http://58.46.69.155:8188/udp/239.76.253.135:9000
重温经典,http://115.171.80.94:1688/rtp/225.1.8.39:8002
凤凰资讯,http://175.8.129.208:4000/udp/239.76.253.135:9000
凤凰资讯,http://175.8.129.208:4000/udp/239.76.246.135:1234
凤凰中文,http://220.169.100.41:10087/udp/239.76.246.134:1234
凤凰中文,http://220.169.100.41:10087/udp/239.76.253.134:9000
凤凰资讯,http://125.123.121.210:8188/udp/233.50.200.192:5140
凤凰中文,http://58.46.69.155:8188/udp/239.76.253.134:9000
凤凰中文,http://183.130.35.79:9011/udp/233.50.200.191:5140
凤凰资讯,http://171.213.229.178:5555/udp/239.93.0.118:2191
凤凰中文,http://175.8.129.208:4000/udp/239.76.246.134:1234
凤凰中文,http://175.8.129.208:4000/udp/239.76.253.134:9000
凤凰中文,http://42.92.195.174:10000/udp/239.255.30.50:8231
凤凰资讯,http://171.213.133.9:1880/udp/239.93.0.118:2191
凤凰香港,http://42.92.195.174:10000/udp/239.255.30.123:8231
凤凰资讯,http://171.213.208.39:4022/udp/239.93.0.118:2191
凤凰资讯,http://220.169.100.41:10087/udp/239.76.253.135:9000
凤凰中文,http://171.213.157.52:9999/udp/239.93.0.162:2192
凤凰中文,http://171.213.208.39:4022/udp/239.93.0.162:2192
凤凰资讯,http://42.92.195.174:10000/udp/239.255.30.70:8231
凤凰资讯,http://220.169.100.41:10087/udp/239.76.246.135:1234
凤凰中文,http://171.213.229.178:5555/udp/239.93.0.162:2192
凤凰资讯,http://171.213.211.24:4022/udp/239.93.0.118:2191
凤凰中文,http://171.213.222.241:4022/udp/239.93.0.162:2192
凤凰资讯,http://171.213.155.138:9999/udp/239.93.0.118:2191
凤凰资讯,http://58.46.210.223:4022/udp/239.76.253.135:9000
凤凰资讯,http://58.46.210.223:4022/udp/239.76.246.135:1234
凤凰中文,http://115.192.237.86:4022/udp/233.50.200.191:5140
凤凰资讯,http://115.192.237.86:4022/udp/233.50.200.192:5140
凤凰中文,http://58.46.69.155:8188/udp/239.76.246.134:1234
凤凰资讯,http://58.46.69.155:8188/udp/239.76.246.135:1234
凤凰资讯,http://171.213.222.241:4022/udp/239.93.0.118:2191
凤凰资讯,http://171.213.157.52:9999/udp/239.93.0.118:2191
凤凰中文,http://171.213.211.24:4022/udp/239.93.0.162:2192
