湖南频道,#genre#
金鹰纪实,http://117.12.150.180:4022/rtp/225.1.1.124:5002
金鹰纪实,http://39.89.122.41:8188/rtp/239.253.254.103:8000
金鹰纪实,http://124.135.64.121:22222/rtp/239.253.254.103:8000
金鹰纪实,http://42.238.246.97:8012/rtp/225.1.4.172:1711
金鹰纪实,http://121.29.169.205:8888/rtp/239.253.92.103:6054
金鹰纪实,http://121.29.133.109:8888/rtp/239.253.92.103:6054
金鹰纪实,http://122.189.103.140:8010/rtp/228.0.0.145:7145
金鹰纪实,http://123.4.213.228:8188/rtp/225.1.4.172:1711
金鹰纪实,http://121.29.169.89:7777/rtp/239.253.92.103:6054
金鹰纪实,http://121.29.215.236:8888/rtp/239.253.92.103:6054
金鹰纪实,http://121.29.169.89:8888/rtp/239.253.92.103:6054
金鹰纪实,http://121.29.215.236:7777/rtp/239.253.92.103:6054
金鹰纪实,http://116.2.167.167:4010/rtp/232.0.0.163:1234
金鹰纪实,http://121.29.169.205:7777/rtp/239.253.92.103:6054
金鹰纪实,http://121.29.169.117:7777/rtp/239.253.92.103:6054
金鹰纪实,http://121.29.169.117:8888/rtp/239.253.92.103:6054
金鹰纪实,http://222.67.24.171:1688/rtp/239.45.1.45:5140
金鹰纪实,http://183.166.144.138:8688/rtp/238.1.79.9:4184
金鹰纪实,http://183.166.145.113:8688/rtp/238.1.79.9:4184
湖南国际,http://175.8.129.208:4000/udp/239.76.252.124:9000
湖南都市,http://175.8.129.208:4000/udp/239.76.245.117:1234
湖南娱乐,http://175.8.129.208:4000/udp/239.76.245.121:1234
长沙政法,http://175.8.129.208:4000/udp/239.76.253.122:9000
金鹰纪实,http://114.107.45.71:8188/rtp/238.1.79.9:4184
金鹰纪实,http://112.66.74.84:8188/rtp/239.253.64.168:5140
湖南公共,http://58.46.69.155:8188/udp/239.76.252.123:9000
湖南电视剧,http://220.169.100.41:10087/udp/239.76.252.118:9000
湖南电视剧,http://58.46.69.155:8188/udp/239.76.246.108:1234
湖南教育台,http://58.46.69.155:8188/udp/239.76.245.233:1234
湖南国际,http://58.46.69.155:8188/udp/239.76.246.102:1234
湖南娱乐,http://220.169.100.41:10087/udp/239.76.245.121:1234
湖南娱乐,http://58.46.69.155:8188/udp/239.76.253.105:9000
金鹰纪实,http://218.86.187.40:8188/rtp/238.255.2.108:5999
金鹰纪实,http://223.198.243.166:4000/rtp/239.253.64.168:5140
湖南国际,http://58.46.69.155:8188/udp/239.76.252.124:9000
长沙新闻,http://58.46.69.155:8188/udp/239.76.246.121:1234
金鹰纪实,http://61.159.134.106:4022/rtp/238.255.2.108:5999
湖南电视剧,http://175.8.129.208:4000/udp/239.76.253.108:9000
湖南电视剧,http://175.8.129.208:4000/udp/239.76.245.118:1234
湖南国际,http://175.8.129.208:4000/udp/239.76.252.240:9000
湖南都市,http://175.8.129.208:4000/udp/239.76.246.104:1234
湖南经视,http://220.169.100.41:10087/udp/239.76.252.116:9000
湖南电视剧,http://175.8.129.208:4000/udp/239.76.246.108:1234
益阳新闻综合,http://175.8.129.208:4000/udp/239.76.255.15:9000
益阳新闻综合,http://175.8.129.208:4000/udp/239.76.248.15:1234
金鹰纪实,http://58.46.69.155:8188/udp/239.76.245.122:1234
湖南娱乐,http://175.8.129.208:4000/udp/239.76.252.121:9000
湖南电影,http://58.46.69.155:8188/udp/239.76.246.106:1234
金鹰纪实,http://1.85.225.218:8686/rtp/239.112.205.203:5140
湖南电影,http://175.8.129.208:4000/udp/239.76.246.106:1234
金鹰纪实,http://175.8.129.208:4000/udp/239.76.252.122:9000
金鹰纪实,http://125.76.196.61:8899/rtp/239.112.205.203:5140
衡阳新闻综合,http://175.8.129.208:4000/udp/239.76.255.13:9000
金鹰纪实,http://218.86.184.144:4022/rtp/238.255.2.108:5999
湖南经视,http://175.8.129.208:4000/udp/239.76.246.103:1234
湘潭新闻综合,http://175.8.129.208:4000/udp/239.76.248.4:1234
湘潭新闻综合,http://175.8.129.208:4000/udp/239.76.255.4:9000
湖南都市,http://58.46.69.155:8188/udp/239.76.253.104:9000
金鹰纪实,http://125.76.196.82:8899/rtp/239.112.205.203:5140
金鹰纪实,http://58.46.69.155:8188/udp/239.76.246.110:1234
金鹰纪实,http://219.141.45.235:8188/rtp/238.255.2.108:5999
金鹰纪实,http://115.171.80.94:1688/rtp/225.1.8.31:8156
湖南都市,http://58.46.69.155:8188/udp/239.76.245.117:1234
湖南都市,http://58.46.69.155:8188/udp/239.76.252.117:9000
金鹰纪实,http://175.8.129.208:4000/udp/239.76.253.110:9000
湘潭新闻综合,http://220.169.100.41:10087/udp/239.76.255.4:9000
金鹰纪实,http://220.169.100.41:10087/udp/239.76.253.110:9000
长沙政法,http://220.169.100.41:10087/udp/239.76.253.122:9000
湖南娱乐,http://58.46.69.155:8188/udp/239.76.246.105:1234
湖南经视,http://58.46.69.155:8188/udp/239.76.253.103:9000
湖南娱乐,http://175.8.129.208:4000/udp/239.76.253.105:9000
湖南公共,http://175.8.129.208:4000/udp/239.76.253.109:9000
衡阳新闻综合,http://175.8.129.208:4000/udp/239.76.248.13:1234
金鹰纪实,http://125.76.196.174:8899/rtp/239.112.205.203:5140
湖南电视剧,http://58.46.69.155:8188/udp/239.76.252.118:9000
湖南公共,http://58.46.69.155:8188/udp/239.76.253.109:9000
湖南经视,http://58.46.69.155:8188/udp/239.76.252.116:9000
湖南经视,http://220.169.100.41:10087/udp/239.76.251.86:9000
益阳新闻综合,http://58.46.69.155:8188/udp/239.76.248.15:1234
长沙新闻综合,http://220.169.100.41:10087/udp/239.76.253.121:9000
长沙政法,http://175.8.129.208:4000/udp/239.76.246.122:1234
益阳新闻综合,http://220.169.100.41:10087/udp/239.76.255.15:9000
长沙政法,http://58.46.69.155:8188/udp/239.76.253.122:9000
湖南国际,http://220.169.100.41:10087/udp/239.76.252.240:9000
湖南都市,http://175.8.129.208:4000/udp/239.76.253.104:9000
湖南教育台,http://220.169.100.41:10087/udp/239.76.252.233:9000
湖南公共,http://175.8.129.208:4000/udp/239.76.246.109:1234
湖南电影,http://220.169.100.41:10087/udp/239.76.253.106:9000
湖南娱乐,http://175.8.129.208:4000/udp/239.76.246.105:1234
湖南电影,http://175.8.129.208:4000/udp/239.76.253.106:9000
湖南经视,http://175.8.129.208:4000/udp/239.76.252.116:9000
湖南教育台,http://220.169.100.41:10087/udp/239.76.245.233:1234
湘潭新闻综合,http://58.46.69.155:8188/udp/239.76.255.4:9000
湖南经视,http://58.46.69.155:8188/udp/239.76.251.86:9000
湖南电视剧,http://220.169.100.41:10087/udp/239.76.245.118:1234
湖南电影,http://58.46.69.155:8188/udp/239.76.253.106:9000
