福建频道,#genre#
厦门卫视,http://183.164.63.167:5000/rtp/238.1.78.246:7840
厦门卫视,http://114.107.45.71:8188/rtp/238.1.78.246:7840
厦门卫视,http://42.238.246.97:8012/rtp/225.1.4.95:1124
厦门卫视,http://112.66.74.84:8188/rtp/239.253.64.179:5140
厦门卫视,http://222.218.122.114:8188/udp/239.81.0.212:4056
厦门卫视,http://111.196.129.187:20000/rtp/239.3.1.143:4120
厦门卫视,http://123.4.213.228:8188/rtp/225.1.4.95:1124
厦门卫视,http://114.254.37.241:18888/rtp/239.3.1.143:4120
厦门卫视,http://61.159.134.106:4022/rtp/238.255.2.205:5999
厦门卫视,http://61.159.135.101:4022/rtp/238.255.2.205:5999
厦门卫视,http://219.141.45.235:8188/rtp/238.255.2.205:5999
厦门卫视,http://223.198.243.166:4000/rtp/239.253.64.179:5140
福建文体,http://117.30.59.104:18888/rtp/239.61.2.160:8948
厦门卫视,http://125.76.196.61:8899/rtp/239.112.205.60:5140
厦门卫视,http://125.76.196.44:8899/rtp/239.112.205.60:5140
厦门卫视,http://219.141.45.25:8188/rtp/238.255.2.205:5999
厦门卫视,http://115.171.80.94:1688/rtp/225.1.8.166:4120
福建新闻,http://117.30.59.104:18888/rtp/239.61.2.4:8018
厦门卫视,http://1.85.225.218:8686/rtp/239.112.205.60:5140
厦门卫视,http://116.2.167.167:4010/rtp/232.0.0.160:1234
厦门卫视,http://183.166.145.113:8688/rtp/238.1.78.246:7840
厦门卫视,http://219.144.113.58:8888/rtp/239.112.205.60:5140
厦门卫视,http://124.226.132.38:19090/udp/239.81.0.212:4056
厦门卫视,http://125.76.196.174:8899/rtp/239.112.205.60:5140
厦门卫视,http://220.176.218.147:9000/rtp/239.252.219.75:5140
厦门卫视,http://125.76.196.82:8899/rtp/239.112.205.60:5140
福建少儿,http://117.30.59.104:18888/rtp/239.61.2.9:8048
福建综合,http://117.30.59.104:18888/rtp/239.61.3.4:9542
福建电视剧,http://117.30.59.104:18888/rtp/239.61.2.5:8024
厦门卫视,http://183.166.144.138:8688/rtp/238.1.78.246:7840
福建经济,http://117.30.59.104:18888/rtp/239.61.2.7:8036
厦门卫视,http://117.57.37.24:4022/rtp/238.1.78.246:7840
厦门卫视,http://117.39.35.122:4022/rtp/239.112.205.60:5140
厦门卫视,http://183.162.205.235:4022/rtp/238.1.78.246:7840
厦门卫视,http://114.241.220.153:4022/rtp/239.3.1.143:4120
厦门卫视,http://117.30.59.104:18888/rtp/239.61.2.11:8060
厦门卫视,http://218.86.184.144:4022/rtp/238.255.2.205:5999
厦门卫视,http://219.141.45.102:8188/rtp/238.255.2.205:5999
厦门卫视,http://218.86.187.40:8188/rtp/238.255.2.205:5999
