陕西频道,#genre#
陕西农林卫视,http://125.76.196.44:8899/rtp/239.112.205.26:5140
陕西都市青春,http://1.85.225.218:8686/rtp/239.111.205.42:5140
陕西都市青春,http://125.76.196.174:8899/rtp/239.111.205.42:5140
陕西体育休闲,http://125.76.196.44:8899/rtp/239.111.205.36:5140
陕西新闻资讯,http://125.76.196.61:8899/rtp/239.111.205.28:5140
陕西农林卫视,http://125.76.196.174:8899/rtp/239.112.205.26:5140
陕西体育休闲,http://125.76.196.174:8899/rtp/239.111.205.36:5140
陕西新闻资讯,http://117.39.35.122:4022/rtp/239.111.205.28:5140
陕西都市青春,http://117.39.35.122:4022/rtp/239.111.205.42:5140
陕西新闻资讯,http://125.76.196.44:8899/rtp/239.111.205.28:5140
陕西农林卫视,http://125.76.196.61:8899/rtp/239.112.205.26:5140
陕西都市青春,http://125.76.196.82:8899/rtp/239.111.205.42:5140
陕西农林卫视,http://1.85.225.218:8686/rtp/239.112.205.26:5140
陕西都市青春,http://125.76.196.44:8899/rtp/239.111.205.42:5140
陕西新闻资讯,http://125.76.196.174:8899/rtp/239.111.205.28:5140
陕西都市青春,http://219.144.113.58:8888/rtp/239.111.205.42:5140
陕西都市青春,http://125.76.196.61:8899/rtp/239.111.205.42:5140
陕西新闻资讯,http://219.144.113.58:8888/rtp/239.111.205.28:5140
陕西农林卫视,http://125.76.196.82:8899/rtp/239.112.205.26:5140
陕西体育休闲,http://125.76.196.82:8899/rtp/239.111.205.36:5140
陕西体育休闲,http://117.39.35.122:4022/rtp/239.111.205.36:5140
陕西新闻资讯,http://125.76.196.82:8899/rtp/239.111.205.28:5140
陕西体育休闲,http://219.144.113.58:8888/rtp/239.111.205.36:5140
陕西新闻资讯,http://1.85.225.218:8686/rtp/239.111.205.28:5140
陕西体育休闲,http://125.76.196.61:8899/rtp/239.111.205.36:5140
陕西体育休闲,http://1.85.225.218:8686/rtp/239.111.205.36:5140
陕西农林卫视,http://219.144.113.58:8888/rtp/239.112.205.26:5140
