台湾频道,#genre#
中天新闻 HD,http://000.hfr1107.top/tv/smt.php?id=ctinews
东森新闻 ETTV News,http://000.hfr1107.top/tv/smt.php?id=ettvnews
台视新闻台,http://000.hfr1107.top/tv/smt.php?id=ttvnews_twn
民视新闻台 FTV News,http://000.hfr1107.top/tv/smt.php?id=ftvnew_taiwan
中视新闻台,http://000.hfr1107.top/tv/smt.php?id=zhongshinews_twn
TVBS News 新闻台,http://000.hfr1107.top/tv/smt.php?id=tvbs_n
寰宇新闻台,http://000.hfr1107.top/tv/smt.php?id=huanyuxinwen_twn
非凡新闻台,http://000.hfr1107.top/tv/smt.php?id=feifannews_twn
年代新闻,http://000.hfr1107.top/tv/smt.php?id=niandainews_twn
TVBS 欢乐台 （备份）,http://000.hfr1107.top/tv/smt.php?id=tvbshuanle_twn
TVBS HD,http://000.hfr1107.top/tv/smt.php?id=tvbs
中天娱乐 CTI Entertaiment,http://000.hfr1107.top/tv/smt.php?id=ctient
中天综合 CTI Metro,http://000.hfr1107.top/tv/smt.php?id=ctizhonghe
中天亚洲台,http://000.hfr1107.top/tv/smt.php?id=ctiasia_twn
台视 TTV HD,http://000.hfr1107.top/tv/smt.php?id=ttv_taiwan
台视综合台,http://000.hfr1107.top/tv/smt.php?id=ttvzhonghe
中视 HD,http://000.hfr1107.top/tv/smt.php?id=zhongshihd_twn
民视 HD,http://000.hfr1107.top/tv/smt.php?id=ftvhd_taiwan
民视台湾台,http://000.hfr1107.top/tv/smt.php?id=ftvtaiwan_twn
华视 CTS HD,http://000.hfr1107.top/tv/smt.php?id=ctshd_twn
公视 CTV,http://000.hfr1107.top/tv/smt.php?id=ctv18_twn
八大第一 GTV First,http://000.hfr1107.top/tv/smt.php?id=badafirst
八大综合 GTV Metro,http://000.hfr1107.top/tv/smt.php?id=badazhonghe
八大戏剧 GTV Drama,http://000.hfr1107.top/tv/smt.php?id=badadrama
八大娱乐 GTV Entertainment,http://000.hfr1107.top/tv/smt.php?id=badaentertain
HBO_HD,http://000.hfr1107.top/tv/smt.php?id=hbohd_twn
HBO_HITS,http://000.hfr1107.top/tv/smt.php?id=hbohit_twn
Hollywood Movies,http://000.hfr1107.top/tv/smt.php?id=hollywoodmovies_twn
三立台湾 Sanli Taiwan,http://000.hfr1107.top/tv/smt.php?id=sanlitaiwan
三立戏剧台,http://000.hfr1107.top/tv/smt.php?id=sanlixiju_twn
三立综合 Sanli Metro,http://000.hfr1107.top/tv/smt.php?id=sanlizhonghe
三立都会台,http://000.hfr1107.top/tv/smt.php?id=sanlidouhui
CINEMAX,http://000.hfr1107.top/tv/smt.php?id=cinemax_twn
东森综合 ETTV Metro,http://000.hfr1107.top/tv/smt.php?id=ettvzhonghe
东森戏剧 ETTV Drama,http://000.hfr1107.top/tv/smt.php?id=ettvdrama
东森超视,http://000.hfr1107.top/tv/smt.php?id=ettvsuper
东森财经新闻 ETTV Business,http://000.hfr1107.top/tv/smt.php?id=ettvcaijing_twn
寰宇财经,http://000.hfr1107.top/tv/smt.php?id=huanyutaiwan_twn
公视2,http://000.hfr1107.top/tv/smt.php?id=ctv2_twn
大爱1台,http://000.hfr1107.top/tv/smt.php?id=daai_twn
龙华戏剧 Lunghua Drama,http://000.hfr1107.top/tv/smt.php?id=lunghuaxiju_twn
龙华经典台,http://000.hfr1107.top/tv/smt.php?id=lunghuajingdian_twn
龙华偶像,http://000.hfr1107.top/tv/smt.php?id=lunghuaidol_twn
AXN Taiwan,http://000.hfr1107.top/tv/smt.php?id=axn_twn
靖天国际台,http://000.hfr1107.top/tv/smt.php?id=jingtianintl_twn
纬来日本台,http://000.hfr1107.top/tv/smt.php?id=videolandjapan
纬来电影台,http://000.hfr1107.top/tv/smt.php?id=videolandmovie
纬来体育台,http://000.hfr1107.top/tv/smt.php?id=videolandsport
纬来综合台,http://000.hfr1107.top/tv/smt.php?id=videolandzonghe
纬来育乐,http://000.hfr1107.top/tv/smt.php?id=videolandyule
纬来精彩,http://000.hfr1107.top/tv/smt.php?id=videolandspecial_twn
好消息 2,http://000.hfr1107.top/tv/smt.php?id=good2_twn
大爱2台,http://000.hfr1107.top/tv/smt.php?id=daai2_twn
亚洲美食,http://000.hfr1107.top/tv/smt.php?id=afc_twn
美食星球,http://000.hfr1107.top/tv/smt.php?id=foodplanet_twn
亚洲旅游 TLC Asia,http://000.hfr1107.top/tv/smt.php?id=tlc_twn
东森电影 ETTV Movie,http://000.hfr1107.top/tv/smt.php?id=ettvmovie
阿里郎 Arirang,http://000.hfr1107.top/tv/smt.php?id=arirang_twn
博斯运动 1,http://000.hfr1107.top/tv/smt.php?id=bosisport1_twn
博斯运动 2,http://000.hfr1107.top/tv/smt.php?id=bosisport2_twn
博斯高球2 HD,http://000.hfr1107.top/tv/smt.php?id=bosigolf2_twn
博斯网球 HD,http://000.hfr1107.top/tv/smt.php?id=bositennis_twn
东森洋片 ETTV Western,http://000.hfr1107.top/tv/smt.php?id=ettvwestern
龙华洋片 Lunghua Western,http://000.hfr1107.top/tv/smt.php?id=lunghuawestern_twn
博斯无限,http://000.hfr1107.top/tv/smt.php?id=bosiunlimited_twn
MTV Live,http://000.hfr1107.top/tv/smt.php?id=mtvhd_twn
龙详时代,http://000.hfr1107.top/tv/smt.php?id=lungxiangtime_twn
EYETV 旅游,http://000.hfr1107.top/tv/smt.php?id=eyetvtravel_twn
靖天卡通台,http://000.hfr1107.top/tv/smt.php?id=jingtiancartoon_twn
EYETV 戏剧,http://000.hfr1107.top/tv/smt.php?id=eyetvxiju_twn
卫视中文台 Star Movies Chinese,http://000.hfr1107.top/tv/smt.php?id=weishichinese_twn
东森幼幼 Yoyo TV,http://000.hfr1107.top/tv/smt.php?id=yoyo_twn
卫视电影台,http://000.hfr1107.top/tv/smt.php?id=weishimovie_twn
美亚电影,http://000.hfr1107.top/tv/smt.php?id=meiyamovie_twn
爱尔达影剧台,http://000.hfr1107.top/tv/smt.php?id=eltayingju_twn
爱尔达综合台,http://000.hfr1107.top/tv/smt.php?id=eltazonghe_twn
星卫电影,http://000.hfr1107.top/tv/smt.php?id=xingwei_movie
AFC 亚洲旅游台,http://000.hfr1107.top/tv/smt.php?id=asiatravel_twn

香港频道,#genre#
凤凰卫视,http://000.hfr1107.top/tv/smt.php?id=phoenixtv_hd
凤凰资讯,http://000.hfr1107.top/tv/smt.php?id=phoenixinfo_hd
iNews 新闻台,http://000.hfr1107.top/tv/smt.php?id=inews_twn
翡翠台,http://000.hfr1107.top/tv/smt.php?id=jade_twn
翡翠台 backup,http://000.hfr1107.top/tv/smt.php?id=Jade_xue
J 2,http://000.hfr1107.top/tv/smt.php?id=j2_twn
珍珠台,http://000.hfr1107.top/tv/smt.php?id=pearl_twn
凤凰香港,http://000.hfr1107.top/tv/smt.php?id=hkphoenix_twn
HOY资讯台,http://000.hfr1107.top/tv/smt.php?id=hoycaijing_twn
RHK 31,http://000.hfr1107.top/tv/smt.php?id=rhk31_twn
VIUTV1,http://000.hfr1107.top/tv/smt.php?id=viu1_twn
RHK 32,http://000.hfr1107.top/tv/smt.php?id=rhk32_twn
Viu6,http://000.hfr1107.top/tv/smt.php?id=viusix_twn

体育频道,#genre#
爱尔达体育2台,http://000.hfr1107.top/tv/smt.php?id=eltasport2_twn
爱尔达体育3台,http://000.hfr1107.top/tv/smt.php?id=eltasport3_twn
Astro Premier League 1,http://000.hfr1107.top/tv/smt.php?id=go_assp1
Astro EPL 1 backup,http://000.hfr1107.top/tv/smt.php?id=go_assp1x
Astro Premier League 2,http://000.hfr1107.top/tv/smt.php?id=go_assp2
Astro Grandstand,http://000.hfr1107.top/tv/smt.php?id=go_assp3
Astro Football,http://000.hfr1107.top/tv/smt.php?id=go_assp4
Astro Sports Plus,http://000.hfr1107.top/tv/smt.php?id=go_sportsplus
Astro Badminton 1,http://000.hfr1107.top/tv/smt.php?id=go_badminton1
Astro Badminton 2,http://000.hfr1107.top/tv/smt.php?id=go_badminton2
Astro W-Sports,http://000.hfr1107.top/tv/smt.php?id=go_assp5
Supersports 1,http://000.hfr1107.top/tv/smt.php?id=Assp1
Supersports 2,http://000.hfr1107.top/tv/smt.php?id=Assp2
Supersports 3,http://000.hfr1107.top/tv/smt.php?id=Assp3
Supersports 4,http://000.hfr1107.top/tv/smt.php?id=Assp4
WWE,http://000.hfr1107.top/tv/smt.php?id=Wwe
Fight Sports,http://000.hfr1107.top/tv/smt.php?id=Fs
NBA TV,http://000.hfr1107.top/tv/smt.php?id=Nba
Astro Cricket,http://000.hfr1107.top/tv/smt.php?id=Acricket
Astro Golf,http://000.hfr1107.top/tv/smt.php?id=Agolf
Tnt Sports 1,http://000.hfr1107.top/tv/smt.php?id=6fac0aaead
TNT Sports 2,http://000.hfr1107.top/tv/smt.php?id=d9a76a79cc
TNT Sports 3,http://000.hfr1107.top/tv/smt.php?id=5fea4d73db
TNT Sports 4,http://000.hfr1107.top/tv/smt.php?id=tntsport4
Sony Ten 1,http://000.hfr1107.top/tv/smt.php?id=ten1_raj
Sony Ten 2,http://000.hfr1107.top/tv/smt.php?id=ten2_raj
Sony Ten 3,http://000.hfr1107.top/tv/smt.php?id=ten3_raj
SPOTV 1 HD,http://000.hfr1107.top/tv/smt.php?id=go_spotv
SPO TV 2,http://000.hfr1107.top/tv/smt.php?id=go_spotv2
Skysports F1,http://000.hfr1107.top/tv/smt.php?id=tiankongf1
Skysports Cricket,http://000.hfr1107.top/tv/smt.php?id=tiankongcricket
Skysports EPL,http://000.hfr1107.top/tv/smt.php?id=tiankongepl
Skysports Main Event,http://000.hfr1107.top/tv/smt.php?id=tiankongmain
Skysports News,http://000.hfr1107.top/tv/smt.php?id=tiankongnews
Skysports Mix,http://000.hfr1107.top/tv/smt.php?id=tiankongmix
Rugby Pass TV,http://000.hfr1107.top/tv/smt.php?id=Rugbypasstv
RTM Sports HD,http://000.hfr1107.top/tv/smt.php?id=Rtmsport
Arena,http://000.hfr1107.top/tv/smt.php?id=Arena
Arena 2,http://000.hfr1107.top/tv/smt.php?id=Arena2
