央视频道,#genre#
CCTV1,http://180.105.218.230:4022/rtp/239.49.8.19:9614#http://114.226.5.202:4022/rtp/239.49.8.129:6000#http://49.77.104.97:8554/rtp/239.49.8.129:6000#http://49.77.104.97:8554/rtp/239.49.8.19:9614#http://180.105.218.230:4022/rtp/239.49.8.129:6000#http://123.4.213.228:8188/rtp/225.1.4.73:1102#http://114.226.205.65:4022/rtp/239.49.8.129:6000#http://1.58.246.23:4000/rtp/229.58.190.151:5000#http://1.192.242.184:8188/rtp/239.16.20.1:10010#http://106.116.241.211:9999/rtp/239.254.200.45:8008
CCTV2,http://117.13.121.247:4022/rtp/225.1.1.133:5002#http://140.250.221.14:4022/udp/239.21.1.151:5002#http://183.166.145.113:8688/rtp/238.1.78.235:7752#http://123.4.213.228:8188/rtp/225.1.4.74:1103#http://183.166.144.138:8688/rtp/238.1.78.235:7752#http://27.184.65.110:58888/rtp/239.254.200.158:6000#http://1.192.242.184:8188/rtp/239.16.20.2:10020#http://114.226.5.202:4022/rtp/239.49.8.130:6000#http://49.77.104.97:8554/rtp/239.49.8.130:6000#http://180.105.218.230:4022/rtp/239.49.8.130:6000
CCTV3,http://117.13.121.247:4022/rtp/225.1.1.158:5002#http://111.162.207.216:8686/rtp/225.1.1.158:5002#http://140.250.221.14:4022/udp/239.21.2.45:5002#http://106.116.241.211:9999/rtp/239.254.201.152:7205#http://27.184.65.110:58888/rtp/239.254.201.152:7205#http://111.226.232.182:10010/rtp/239.254.201.152:7205#http://111.224.75.87:4022/rtp/239.254.201.152:7205#http://1.192.242.184:8188/rtp/239.16.20.3:10030#http://59.172.69.163:4022/rtp/239.69.1.122:10370#http://144.255.44.160:7788/udp/239.21.2.45:5002
CCTV4,http://117.57.37.24:4022/rtp/238.1.78.236:7760#http://140.250.221.14:4022/udp/239.21.1.154:5002#http://111.226.232.182:10010/rtp/239.254.200.190:6307#http://123.4.213.228:8188/rtp/225.1.5.30:1333#http://111.224.75.87:4022/rtp/239.254.200.190:6307#http://27.189.126.108:4022/rtp/239.254.200.190:6307#http://221.234.128.5:4022/rtp/239.69.1.138:10466#http://180.105.218.230:4022/rtp/239.49.8.131:6000#http://1.192.242.184:8188/rtp/239.16.20.4:10040#http://106.116.241.211:9999/rtp/239.254.200.190:6307
CCTV5,http://111.162.207.216:8686/rtp/225.1.1.160:5002#http://218.1.138.50:4022/rtp/239.45.1.69:5140#http://113.104.185.171:7088/udp/239.77.0.170:5146#http://27.189.126.108:4022/rtp/239.254.201.153:7206#http://106.116.241.211:9999/rtp/239.254.201.153:7206#http://123.4.213.228:8188/rtp/225.1.4.159:1195#http://1.192.242.184:8188/rtp/239.16.20.53:10530#http://27.184.65.110:58888/rtp/239.254.201.153:7206#http://117.13.121.247:4022/rtp/225.1.1.160:5002#http://106.87.51.41:8888/rtp/235.254.198.54:1492
CCTV5+,http://140.250.221.14:4022/udp/239.21.1.142:5002#http://27.189.126.108:4022/rtp/239.254.200.46:8004#http://180.105.218.230:4022/rtp/239.49.8.18:9610#http://183.166.144.138:8688/rtp/238.1.78.237:7768#http://27.184.65.110:58888/rtp/239.254.200.46:8004#http://106.116.241.211:9999/rtp/239.254.200.46:8004#http://123.4.213.228:8188/rtp/225.1.4.75:1104#http://117.13.121.247:4022/rtp/225.1.1.121:5002#http://1.192.242.184:8188/rtp/239.16.20.5:10050#http://124.224.85.17:2000/rtp/239.121.4.140:8852
CCTV6,http://218.1.138.50:4022/rtp/239.45.1.70:5140#http://27.189.126.108:4022/rtp/239.254.201.154:7207#http://27.184.65.110:58888/rtp/239.254.201.154:7207#http://106.116.241.211:9999/rtp/239.254.201.154:7207#http://111.224.75.87:4022/rtp/239.254.201.154:7207#http://1.192.242.184:8188/rtp/239.16.20.6:10060#http://111.226.232.182:10010/rtp/239.254.201.154:7207#http://218.8.87.96:4000/rtp/229.58.190.61:5000#http://59.172.69.163:4022/rtp/239.69.1.124:10382#http://117.30.59.104:18888/rtp/239.61.3.36:9734
CCTV7,http://113.104.185.171:7088/udp/239.77.0.138:5146#http://117.57.37.24:4022/rtp/238.1.78.239:7784#http://106.116.241.211:9999/rtp/239.254.200.159:6000#http://183.166.144.138:8688/rtp/238.1.78.239:7784#http://111.224.75.87:4022/rtp/239.254.200.159:6000#http://27.184.65.110:58888/rtp/239.254.200.159:6000#http://111.226.232.182:10010/rtp/239.254.200.159:6000#http://1.192.242.184:8188/rtp/239.16.20.51:10510#http://110.157.221.183:8088/udp/238.125.5.24:5140#http://124.224.85.17:2000/rtp/239.121.4.156:8920
CCTV8,http://140.250.221.14:4022/udp/239.21.2.48:5002#http://42.238.246.97:8012/rtp/225.1.4.161:1197#http://1.192.242.184:8188/rtp/239.16.20.8:10080#http://111.224.75.87:4022/rtp/239.254.201.155:7208#http://27.184.65.110:58888/rtp/239.254.201.155:7208#http://59.35.185.47:8188/udp/239.77.0.172:5146#http://106.116.241.211:9999/rtp/239.254.201.155:7208#http://111.226.232.182:10010/rtp/239.254.201.155:7208#http://1.58.246.23:4000/rtp/229.58.190.63:5000#http://59.172.69.163:4022/rtp/239.69.1.125:10388
CCTV9,http://111.162.207.216:8686/rtp/225.1.1.119:5002#http://218.1.138.50:4022/rtp/239.45.3.4:5140#http://183.166.144.138:8688/rtp/238.1.78.240:7792#http://183.166.145.113:8688/rtp/238.1.78.240:7792#http://106.116.241.211:9999/rtp/239.254.200.59:8112#http://111.226.232.182:10010/rtp/239.254.200.59:8112#http://123.4.213.228:8188/rtp/225.1.4.77:1106#http://122.189.103.140:8010/rtp/228.0.0.9:6108#http://27.184.65.110:58888/rtp/239.254.200.59:8112#http://1.192.242.184:8188/rtp/239.16.20.9:10090
